1;CP0001;Bujía;Batería de 12V para coche eléctrico;Mahle;337,69;247
2;CP0002;Filtro de aire;Batería de 12V para coche eléctrico;Varta;160,03;170
3;CP0003;Batería;Turbocompresor para motores diésel;Monroe;123,09;121
4;CP0004;Amortiguador;Turbocompresor para motores diésel;Mahle;62,89;2
5;CP0005;Amortiguador;Alternador de 120A para vehículos ligeros;Valeo;189,79;7
6;CP0006;Pastillas de freno;Pastillas de freno para automóviles compactos;Mahle;74,97;344
7;CP0007;Bujía;Alternador de 120A para vehículos ligeros;Bosch;197,29;46
8;CP0008;Disco de freno;Disco de freno ventilado;Delphi;300,23;465
9;CP0009;Bujía;Alternador de 120A para vehículos ligeros;Magneti Marelli;289,53;57
10;CP0010;Turbocompresor;Radiador para sistema de enfriamiento;Varta;214,4;428
11;CP0011;Correa de distribución;Radiador para sistema de enfriamiento;Varta;245,9;294
12;CP0012;Filtro de aire;Disco de freno ventilado;Delphi;271;343
13;CP0013;Filtro de aire;Disco de freno ventilado;Monroe;459,98;253
14;CP0014;Bujía;Correa de distribución de alta resistencia;Valeo;465,69;77
15;CP0015;Amortiguador;Alternador de 120A para vehículos ligeros;Varta;90,75;487
16;CP0016;Amortiguador;Radiador para sistema de enfriamiento;Delphi;87,6;47
17;CP0017;Disco de freno;Amortiguador hidráulico para suspensión delantera;NGK;147,97;400
18;CP0018;Turbocompresor;Amortiguador hidráulico para suspensión delantera;Bosch;97,61;262
19;CP0019;Filtro de aire;Turbocompresor para motores diésel;Brembo;421,78;39
20;CP0020;Disco de freno;Correa de distribución de alta resistencia;Delphi;311,61;371
21;CP0021;Amortiguador;Amortiguador hidráulico para suspensión delantera;Valeo;433,43;371
22;CP0022;Disco de freno;Correa de distribución de alta resistencia;Delphi;476,16;52
23;CP0023;Correa de distribución;Filtro de aire para motor de gasolina;Delphi;244,88;464
24;CP0024;Amortiguador;Radiador para sistema de enfriamiento;Monroe;101,59;132
25;CP0025;Alternador;Alternador de 120A para vehículos ligeros;Denso;195,05;330
26;CP0026;Turbocompresor;Correa de distribución de alta resistencia;Mahle;282,98;119
27;CP0027;Batería;Correa de distribución de alta resistencia;Brembo;328,27;234
28;CP0028;Filtro de aire;Pastillas de freno para automóviles compactos;Denso;207,52;152
29;CP0029;Pastillas de freno;Alternador de 120A para vehículos ligeros;Denso;248,4;136
30;CP0030;Correa de distribución;Filtro de aire para motor de gasolina;Denso;356,52;238
31;CP0031;Radiador;Pastillas de freno para automóviles compactos;Valeo;224,71;26
32;CP0032;Batería;Disco de freno ventilado;Brembo;87,79;52
33;CP0033;Pastillas de freno;Turbocompresor para motores diésel;Denso;284,87;417
34;CP0034;Amortiguador;Radiador para sistema de enfriamiento;Magneti Marelli;398,96;90
